ลำดับที่,รหัสทะเบียนวิจัย,ฉบับที่ (ไทย),ฉบับที่ (อังกฤษ),ชื่องานวิจัย (ไทย),ชื่องานวิจัย (อังกฤษ),ชื่อผู้วิจัย (ไทย),ชื่องานวิจัย (อังกฤษ),หน่วยงาน (ไทย),หน่วยงาน (อังกฤษ),สังกัดหน่วยงาน (ไทย),สังกัดหน่วยงาน (อังกฤษ),ชื่อกรม (ไทย),ชื่อกรม (อังกฤษ),ชื่อกระทรวง (ไทย),ชื่อกระทรวง (อังกฤษ),คำสำคัญ (ไทย),คำสำคัญ (อังกฤษ),เลขที่ตั้งหน่วยงาน (ไทย),เลขที่ตั้งหน่วยงาน (อังกฤษ),ชื่อตำบล (ไทย),ชื่อตำบล (อังกฤษ),ชื่ออำเภอ (ไทย),ชื่ออำเภอ (อังกฤษ),ชื่อจังหวัด (ไทย),ชื่อจังหวัด (อังกฤษ),รหัสไปรษณีย์ (เลขไทย),รหัสไปรษณีย์ (เลขอารบิค),หมายเลขโทรศัพท์ (เลขไทย),หมายเลขโทรศัพท์ (เลขอารบิค),หมายเลขโทรสาร (เลขไทย),หมายเลขโทรสาร (เลขอารบิค),ปี พ.ศ. (เลขไทย),ปี ค.ศ. (เลขอารบิค),ปี พ.ศ. (เลขอารบิค),ไฟล์งานวิจัยฉบับย่อ (ไทย),ไฟล์งานวิจัยฉบับย่อ (อังกฤษ),ไฟล์งานวิจัยฉบับเต็ม (รวม),พาทเก็บไฟล์งานวิจัยฉบับย่อ (ไทย),พาทเก็บไฟล์งานวิจัยฉบับย่อ (อังกฤษ),พาทเก็บไฟล์งานวิจัยฉบับเต็ม (รวม)
112,49-0336-45092-060,๒/๒๕๕๐,2/1/2007,"การอนุบาลลูกปูทะเล Scylla paramamosian Estampador, 1949 โดยใส่วัสดุหลบซ่อนและเพิ่มพื้นที่ผิวในบ่อซีเมนต์","Nursing of Young Mud Crabs (Scylla paramamosian Estampador, 1949) by Providing Shelters and Expanded Surface Area in Cement Ponds",วราภรณ์หนูดี<br>ชัยวัฒน์ วิชัยวัฒนะ<br>จินตนา มหาสวัสดิ์,"Varaporn Nudee, Chaiwat Vichaiwattana, Jintana Mahasawat",ศูนย์วิจัยและพัฒนาประมงชายฝั่งสุราษฎร์ธานี,Suratthani Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau	,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"ปูทะเลชนิด Scylla paramamosian , การอนุบาล , วัสดุหลบซ่อน , อัตรารอดตาย , ขนาดความกว้างกระดอง","Scylla paramamosian , nursing , shelters , survival rate , carapace width",๙๗/๑ หมู่ ๔,97/1 Moo 4,ตะเคียนทอง,Takeantong,กาญจนดิษฐ์,Kanchanadit,สุราษฎร์ธานี,Suratthani,84160,84160,๐-๗๗๒-๕๕๒๘-๘,0-772-5528-8,,,2550,2007,2550,๒๒๕๕๐.pdf,22007.pdf,F22550.pdf,www.coastalaqua.com/research/files/th/๒๒๕๕๐.pdf,http://www.coastalaqua.com/research/files/en/22007.pdf,http://www.coastalaqua.com/research/files/full/F22550.pdf
113,47-0328-45089-033,๓/๒๕๕๐,3/1/2007,ปรสิต และแบคทีเรีย Vibrio spp. ในแม่กุ้งแชบ๊วย (Penaeus merguiensis) จากธรรมชาติบริเวณอ่าวไทยฝั่งตะวันออก,Parasites and Vibrio Flora of Wild Broodstock Banana Shrimp (Penaeus merguiensis) from Eastern Gulf of Thailand,ธิดาพร ฉวีภักดิ์<br>ลิลา เรืองแป้น<br>วริษฐา หนูปิ่น,"Tidaporn Chaweepack, Lila Ruangpan, Varittha Nuphin",ศูนย์วิจัยและพัฒนาประมงชายฝั่งจันทบุรี,Chanthaburi Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"กุ้งแชบ๊วย , ปรสิต , แบคทีเรียวิบริโอ","Banana Shrimp , Penaeus merguiensis , parasites , vibrio",,,บางกะจะ,Bangkhacha,เมือง,Muang,จันทบุรี,Chanthaburi,22000,20000,,,,,2550,2007,2550,๓๒๕๕๐.pdf,32007.pdf,F32550.pdf,www.coastalaqua.com/research/files/th/๓๒๕๕๐.pdf,http://www.coastalaqua.com/research/files/en/32007.pdf,http://www.coastalaqua.com/research/files/full/F32550.pdf
114,47-0328-45092-033,๔/๒๕๕๐,4/1/2007,"การอนุบาลลูกปูม้า, Portunus pelagicus (Linnaeus, 1758) จากระยะ megalopa ถึง crab stage ในกระชังและบ่อคอนกรีต","Nursing of Blue Swimming Crab, Portunus pelagicus (Linnaeus, 1758) from megalopa to crab stage in Net Cages and Concrete Tanks",สุรชาต ฉวีภักดิ์<br>ธิดาพร ฉวีภักดิ์ <br>วริษฐา หนูปิ่น,"Surachart Chaweepack, Tidaporn Chaweepack, Varittha Nuphin",ศูนย์วิจัยและพัฒนาประมงชายฝั่งจันทบุรี,Chanthaburi Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau			,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"ปูม้า, การอนุบาล, กระชัง, บ่อคอนกรีต","Blue Swimming Crab , Portunus pelagicus (Linnaeus, 1758) , Nursing , Net Cages , Concrete Tanks",หมู่ ๙,Moo 9,บางกะจะ,Bangkhacha,เมือง,Muang,จันทบุรี,Chanthaburi,22000,20000,๐๓๙๔-๕๗๙๘-๗,0394-5798-7,,,2550,2007,2550,๔๒๕๕๐.pdf,42007.pdf,F42550.pdf,www.coastalaqua.com/research/files/th/๔๒๕๕๐.pdf,http://www.coastalaqua.com/research/files/en/42007.pdf,http://www.coastalaqua.com/research/files/full/F42550.pdf
115,49-0303-49157,๕/๒๕๕๐,5/1/2007,อัตราการเจริญเติบโตของปลาดุกทะเลที่ความหนาแน่นต่างกัน 3 ระดับ,"Growth Rate of Canine Catfish Eel ,Plotosus canius Hamilton-Buchanan at Three Different Stoking Densities",กฤษณา องอาจ<br>วลีรัตน์ มูสิกะสังข์<br>พณารัตน์ สอนสุกใส<br>พุทธ ส่องแสงจินดา,"Kritsana Ong-art, Waleerat Musikasung, Panarat Sonsuksai, Putth Songsangjinda",สถาบันวิจัยการเพาะเลี้ยงสัตว์น้ำชายฝั่ง,Coastal Aquaculture Research Institute,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"ปลาดุกทะเล , การเลี้ยง , ความหนาแน่น","Canine catfish eel , rearing , density",๑/๑๙ ถ.เก้าแสน ซ.๑,1/19   Kaosan Rd. Soi 1,เขารูปช้าง,Khaorupchang,เมือง,Muang,สงขลา,Songkhla,96110,90000,๐-๗๔๓-๑๑๘๙-๕,0-743-1189-5,,,2550,2007,2550,๕๒๕๕๐.pdf,52007.pdf,F52550.pdf,www.coastalaqua.com/research/files/th/๕๒๕๕๐.pdf,http://www.coastalaqua.com/research/files/en/52007.pdf,http://www.coastalaqua.com/research/files/full/F52550.pdf
116,48-0338-48107,๖/๒๕๕๐,6/1/2007,"เปรียบเทียบการเลี้ยงปลาช่อนทะเล Rachycentron canadum (Linnaeus, 1766) ในกระชังด้วยอาหารเม็ดเปียกและปลาสด","Comparative Study on Rearing Cobia Rachycentron canadum (Linnaeus, 1766) in Cages with Moist Pellet and Trash Fish.",ไวยพจน์ เครือเสน่ห์<br>สมชาย พุฒหอม<br>พิภาวัน แย้มมณี,"Vaiyapoch Kruesanae, Somchai Putthom, Pipawan Yammanee",ศูนย์วิจัยและพัฒนาประมงชายฝั่งภูเก็ต,Phuket Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"ปลาช่อนทะเล , การเลี้ยง , อาหารเม็ดเปียก , ปลาสด","Cobia , rearing , moist pellet ,trash fish",๑๐๐ ถ.ป่าคลอก-เมืองใหม่,100 Pakrok-Muangmai Rd.,,,ถลาง,Thalang,ภูเก็ต,Phuket,83110,83110,,,,,2550,2007,2550,๖๒๕๕๐.pdf,62007.pdf,F62550.pdf,www.coastalaqua.com/research/files/th/๖๒๕๕๐.pdf,http://www.coastalaqua.com/research/files/en/62007.pdf,http://www.coastalaqua.com/research/files/full/F62550.pdf
117,48-0338-48108,๗/๒๕๕๐,7/1/2007,การทดลองเลี้ยงปลาช่อนทะเลวัยรุ่น ด้วยอาหารเม็ดเปียกที่มีระดับโปรตีนต่างกัน,Experiment on Rearing Juvenile Cobia with Various Protein Levels of Moist Pellet.,ไวยพจน์ เครือเสน่ห์<br>ชัยวัฒน์ วิชัยวัฒนะ<br>พิภาวัน แย้มมณี,"Vaiyapoch Kruesanae, Chaiwat Wichaiwattana, Pipawan Yammanee",ศูนย์วิจัยและพัฒนาประมงชายฝั่งภูเก็ต,Phuket Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"ปลาช่อนทะเล , การเลี้ยง , อาหารเม็ดเปียก ","Cobia , rearing , moist pellet ",๑๐๐ ถ.ป่าคลอก-เมืองใหม่,100 Pakrok-Muangmai Rd.,,,ถลาง,Thalang,ภูเก็ต,Phuket,83110,83110,,,,,2550,2007,2550,๗๒๕๕๐.pdf,72007.pdf,F72550.pdf,www.coastalaqua.com/research/files/th/๗๒๕๕๐.pdf,http://www.coastalaqua.com/research/files/en/72007.pdf,http://www.coastalaqua.com/research/files/full/F72550.pdf
118,44-44-2-18-20-01-2-218-054,๘/๒๕๕๐,8/1/2007,"การศึกษาการกระตุ้นการวางไข่ พัฒนาการของคัพภะและลูกหอยวัยอ่อนของหอยชักตีน (Strombus canarium Linnaeus, 1758)","""Studies on Spawning Stimulation, Embryonic and Larval Development of Dog Conch (Strombus canarium Linnaeus, 1758)""",พัชรี ซุ่นสั้น<br>สามารถ เดชสถิตย์<br>พิกุล ไชยรัตน์<br>สมศักดิ์ จิระวัทโธ,"Patcharee Soonson, Samart Detsathit, Pikul Chairut, Somsak Jirawuttho",ศูนย์วิจัยและพัฒนาประมงชายฝั่งกระบี่,Krabi Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau	,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"หอยชักตีน , การวางไข่ , คัพภะ , ลูกหอยวัยอ่อน","dog conch , spawning , embryo , veliger larvae",๑๔๑ หมู่ ๖,141 Moo 6,ไสไทย,Saithai,เมือง,Muang,กระบี่,Krabi,81000,81000,,,,,2550,2007,2550,๘๒๕๕๐.pdf,82007.pdf,F82550.pdf,www.coastalaqua.com/research/files/th/๘๒๕๕๐.pdf,http://www.coastalaqua.com/research/files/en/82007.pdf,http://www.coastalaqua.com/research/files/full/F82550.pdf
119,46-0340-45089-019,๙/๒๕๕๐,9/1/2007,การเลี้ยงขุนกุ้งแชบ๊วยเป็นพ่อแม่พันธุ์ในบ่อดินโดยเสริมด้วยอาหารเม็ดผสมวิตามินอีและอาหารสด,"Studies on Maturation of Banana Shrimp, Penaeus merguiensis in Growout Pond by Feeding Supplemented Vitamin E Pellet and Fresh Feed",ไพฑูรย์ อรรฆยานนท์<br>พิษณุ นาอนันต์,"Paitoon Akkayanont, Pisanu Naanan",ศูนย์วิจัยและพัฒนาการเพาะเลี้ยงกุ้งทะเลจังหวัดตรัง,Trang Marine Shrimp Culture Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau	,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"กุ้งแชบ๊วย , การเลี้ยง , บ่อดิน , อาหารเม็ด , วิตามินอี , อาหารสด","Penaeus merguiensis , pellet feed , vitamin E , fresh feed , gravid female",๒๐๐ หมู่ ๔,200 Moo 4,ไม้ฝาด,Maifard,สิเกา,Sikao,ตรัง,Trang,92150,92150,๐-๗๕๒๗-๔๐๗๗-๘,0-7527-4077-8,,,2550,2007,2550,๙๒๕๕๐.pdf,92007.pdf,F92550.pdf,www.coastalaqua.com/research/files/th/๙๒๕๕๐.pdf,http://www.coastalaqua.com/research/files/en/92007.pdf,http://www.coastalaqua.com/research/files/full/F92550.pdf
120,46-0340-45089-020,๑๐/๒๕๕๐,10/1/2007,ศึกษาผลผลิตและต้นทุนการผลิตไรน้ำกร่อยด้วยอาหาร 4 ชนิด,"Sutdies on Production and Cost of Mass Culture of Diaphanosoma sp., Feeding with 4 Different Feeds",ไพฑูรย์ อรรฆยานนท์<br>พิษณุ นาอนันต์,"Paitoon Akkayanont, Pisanu Naanan",ศูนย์วิจัยและพัฒนาการเพาะเลี้ยงกุ้งทะเลจังหวัดตรัง,Trang Marine Shrimp Culture Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau	,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"ไรน้ำกร่อย , น้ำปลาหมัก , น้ำรำ , คลอเรลล่า , การเพาะเลี้ยง","Diaphanosoma sp. , fermented fish silage feed , rice bran feed , Chlorella sp. feed , mass culture",๒๐๐ หมู่ ๔,200 Moo 4,ไม้ฝาด,Maifard,สิเกา,Sikao,ตรัง,Trang,92150,92150,๐-๗๕๒๗-๔๐๗๗-๘,0-7527-4077-8,,,2550,2007,2550,๑๐๒๕๕๐.pdf,102007.pdf,F102550.pdf,www.coastalaqua.com/research/files/th/๑๐๒๕๕๐.pdf,http://www.coastalaqua.com/research/files/en/102007.pdf,http://www.coastalaqua.com/research/files/full/F102550.pdf
121,47-0340-45089-029,๑๑/๒๕๕๐,11/1/2007,เปรียบเทียบผลการเพาะฟักและอนุบาลลูกกุ้งแชบ๊วยจากแม่กุ้งที่เลี้ยงด้วยอาหารต่างกัน 3 ชนิด,Comparison on Breeding and Nursing Performances of Banana Shrimp (Penaeus merguiensis) from Female Brood Shrimp Fed with 3 Different Feeds,ไพฑูรย์ อรรฆยานนท์<br>พิษณุ นาอนันต์,"Paitoon Akkayanont, Pisanu Naanan",ศูนย์วิจัยและพัฒนาการเพาะเลี้ยงกุ้งทะเลจังหวัดตรัง,Trang Marine Shrimp Culture Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau	,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"กุ้งแชบ๊วย ,บ่อดิน ,การเพาะพันธุ์ ,อาหารเม็ด ,วิตามินอี ,อาหารสด","Penaeus merguiensis , pellet feed , vitamin E , fresh feed , breeding nursing",๒๐๐ หมู่ ๔,200 Moo 4,ไม้ฝาด,Maifard,สิเกา,Sikao,ตรัง,Trang,92150,92150,๐-๗๕๒๗-๔๐๗๗-๘,0-7527-4077-8,,,2550,2007,2550,๑๑๒๕๕๐.pdf,112007.pdf,F112550.pdf,www.coastalaqua.com/research/files/th/๑๑๒๕๕๐.pdf,http://www.coastalaqua.com/research/files/en/112007.pdf,http://www.coastalaqua.com/research/files/full/F112550.pdf
122,47-0338-45097-055,๑๒/๒๕๕๐,12/1/2007,"ชีววิทยาและการเพาะพันธุ์เพรียงทราย (Perinereis quatrefagesi Grube, 1878)","Biological and Breeding of Sand Worm  (Perinereis quatrefagesi Grube, 1878)",นันทวัน ศานติสาธิตกุล<br>วิทยา รัตนะ<br>สมชาย พุฒหอม<br>พิภาวัน แย้มมณี,"Nanthawan Santisathitkul, Wittaya Ratana, Somchai Puthom, Pipawan Yammanee",ศูนย์วิจัยและพัฒนาประมงชายฝั่งภูเก็ต,Phuket Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau	,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"ชีววิทยา , เพาะพันธุ์ , เพรียงทราย (Perinereis quatrefagesi Grube, 1878)","biological , breeding , sand worm (Perinereis quatrefagesi Grube, 1878)",๑๐๐ หมู่ ๔,100 Moo 4,ป่าคลอก,Paklok,ถลาง,Talang,ภูเก็ต,Phuket,83110,83110,๐-๘๓๕๐-๗๓๔๕-๘,0-8350-7345-8,,,2550,2007,2550,๑๒๒๕๕๐.pdf,122007.pdf,F122550.pdf,www.coastalaqua.com/research/files/th/๑๒๒๕๕๐.pdf,http://www.coastalaqua.com/research/files/en/122007.pdf,http://www.coastalaqua.com/research/files/full/F122550.pdf
123,48-0342-45097-065,๑๓/๒๕๕๐,13/2007,การศึกษาการเลี้ยงกุ้งกุลาดำ (Penaeus monodon FABRICIUS) โพสต์ลาวา 15 และโพสต์ลาวา 30 ในบ่อดิน,Study on the Culture of Black Tiger Shrimp (Penaeus monodon FABRICIUS) Postlarvae 15 and Postlarvae 30 in the Earthen Ponds,ครรชิต เขียวเล่ง,Kanchit Kheawleng,ศูนย์วิจัยและพัฒนาประมงชายฝั่งนราธิวาส,Narathiwat Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"กุ้งกุลาดำ , บ่อดิน , การเลี้ยง","Black tiger shrimp , Earthen pond , Culture",หมู่ ๑,Moo 1,ศาลาใหม่,Salamai,ตากใบ,Tarkbai,นราธิวาส,Narathiwat,96110,96110,๐-๗๓๕-๓๘๔๕-๔,0-735-3845-4,,,2550,2007,2550,๑๓๒๕๕๐.pdf,132007.pdf,F132550.pdf,www.coastalaqua.com/research/files/th/๑๓๒๕๕๐.pdf,http://www.coastalaqua.com/research/files/en/132007.pdf,http://www.coastalaqua.com/research/files/full/F132550.pdf
124,48-0336-48103-002,๑๔/๒๕๕๐,14/2007,"เปรียบเทียบการเลี้ยงหอยแครงพันธุ์ Anadara granosa (Linnaeus, 1758) และพันธุ์ Anadara nodifera (Martans, 1860) ในอ่าวบ้านดอน จังหวัดสุราษฎร์ธานี","Comparision on Culture of Anadara granosa (Linnaeus, 1758) and Anadara nodifera (Martans, 1860) in Bandon Bay, Suratthani Province",ชัยวัฒน์ วิชัยวัฒนะ<br>นิธิวัฒน์ วงศ์วิวัฒน์<br>สุพาภร แก้วอักษร<br>จินตนา มหาสวัสดิ์,"Chaiwat Vichaiwattana, Nithiwat Wongwiwat, Supaporn Keaw-aksorn, Jintana Mahasawat",ศูนย์วิจัยและพัฒนาประมงชายฝั่งสุราษฎร์ธานี,Suratthani Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau	,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"การเลี้ยงหอยแครง (Anadara nodifera, A. granosa) , การเจริญเติบโต , ชีวประวัติ , ผลตอบแทน","Blood cockle culture , Anadara nodifera , Anadara granosa) , Growth , Life history , Investment return",หมู่ ๔,Moo 4,ตะเคียนทอง,Takeantong,กาญจนดิษฐ์,Kanchanadit,สุราษฎร์ธานี,Suratthani,84160,84160,๐-๗๗๒-๕๕๒๘-๘,0-772-5528-8,,,2550,2007,2550,๑๔๒๕๕๐.pdf,142007.pdf,F142550.pdf,www.coastalaqua.com/research/files/th/๑๔๒๕๕๐.pdf,http://www.coastalaqua.com/research/files/en/142007.pdf,http://www.coastalaqua.com/research/files/full/F142550.pdf
125,47-0339-45118-032,๑๕/๒๕๕๐,15/2007,"การเลี้ยงปลากะรังดอกแดง, Epinephelus coioides ในบ่อดินที่ความหนาแน่น ๒ ระดับ","Culturing of Grouper, Epinephelus coioides in Earthen ponds at Two Levels of Stocking Density",ธวัชชัย ทองน้อย<br>วาลุกา กฤตรัชตนันต์<br>มีชัย แก้วศรีทอง<br>กัตติกา ตูวิเชียร,"Tawatchai Thongnoi, Valuka Kritrachtanan, Meechai Kaewsrithong, Kattiga Tuvichien",ศูนย์วิจัยและพัฒนาประมงชายฝั่งสตูล,Satun Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"ปลากะรังดอกแดง (Epinephelus coioides) , การเลี้ยง , บ่อดิน","Grouper (Epinephelus coioides) , culture , earthen pond",,,ปากน้ำ,Paknam,ละงู,La-ngu,สตูล,Satun,91110,91110,๐-๗๔๗-๘๓๓๔-๗,0-747-8334-7,,,2550,2007,2550,๑๕๒๕๕๐.pdf,152007.pdf,F152550.pdf,www.coastalaqua.com/research/files/th/๑๕๒๕๕๐.pdf,http://www.coastalaqua.com/research/files/en/152007.pdf,http://www.coastalaqua.com/research/files/full/F152550.pdf
126,48-0338-45097-066,๑๖/๒๕๕๐,16/2007,การเจริญเติบโตและการผลิตพันธุ์กุ้งกุลาดำรุ่นที่ 2 (F1) จากกุ้ง 2 สายพันธุ์,Growth Performance and Seed Production of 2nd Generation (F1) Penaeus monodon (Fabricius) Broodstock 2 strains,ไวยพจน์ เครือเสน่ห์<br>วรวุฒิ ชัชวาลชัยพรรณ<br>วิทยา รัตนะ<br>จิรานุวัฒน์ ชูเพชร,"Vaiyapoch Kruesanae, Worawut Chutchawanchaipan, Wittaya Rattana, Jiranuwat Chupeth",ศูนย์วิจัยและพัฒนาประมงชายฝั่งภูเก็ต,Phuket Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"การเจริญเติบโต , การผลิตพันธุ์ , กุ้งกุลาดำรุ่นที่ 2 (F1)","growth , seed production , 2nd generation (F1) , Penaeus monodon",๑๐๐ ถ.ป่าคลอก-เมืองใหม่,100 Pakrok-Muangmai Rd.,,,ถลาง,Thalang,ภูเก็ต,Phuket,83110,83110,๐-๗๖๒-๑๙๓๓-๐,0-762-1933-0,,,2550,2007,2550,๑๖๒๕๕๐.pdf,162007.pdf,F162550.pdf,www.coastalaqua.com/research/files/th/๑๖๒๕๕๐.pdf,http://www.coastalaqua.com/research/files/en/162007.pdf,http://www.coastalaqua.com/research/files/full/F162550.pdf
127,49-0325-49159,๑๗/๒๕๕๐,17/2007,การเลี้ยงกุ้งแชบ๊วย (Penaeus merguiensis De Man) ด้วยระบบสมดุลนิเวศ,Culture of Banana Shrimp (Penaeus merguiensis De Man) in the Eco-Balancing System,ชัยรัตน์ พุ่มช่วย<br>สุพจน์ จึงแย้มปิ่น,"Chairat Phumchuai, Supot Chungyampin",ศูนย์พัฒนาประมงพื้นที่ลุ่มน้ำปากพนังอันเนื่องมาจากพระราชดำริ,Pak Panang Basin Royal Fisheries Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"การเลี้ยง , กุ้งแชบ๊วย , สมดุลนิเวศ","Culture , Banana shrimp , Eco-balancing system",๓๔/๔ หมู่ ๕,34/4 Moo 5,หูล่อง,Hulong,ปากพนัง,Pakpanang,นครศรีธรรมราช,Nakhonsitham marat,,,๐-๗๕๔-๔๓๑๗-๘,0-754-4317-8,,,2550,2007,2550,๑๗๒๕๕๐.pdf,172007.pdf,F172550.pdf,www.coastalaqua.com/research/files/th/๑๗๒๕๕๐.pdf,http://www.coastalaqua.com/research/files/en/172007.pdf,http://www.coastalaqua.com/research/files/full/F172550.pdf
128,47-0303-45097-063,๑๘/๒๕๕๐,18/2007,ผลของไนเตรทในตะกอนดินต่อปริมาณซัลไฟด์ในการเลี้ยงกุ้งกุลาดำ (Penaeus monodon Fabricius) แบบพัฒนาในบ่อดิน,Effect of Sediment Nitrate on Content of Sulfide in an Intensive Culture of Black Tiger Shrimp (Penaeus monodon Fabricius) in the Earthen Ponds,พุทธ ส่องแสงจินดา<br>อุษณีย์ เอกปณิธานพงศ์,"Putth Songsangjinda, Usanee Ekpanithanpong",สถาบันวิจัยการเพาะเลี้ยงสัตว์น้ำชายฝั่ง,Coastal Aquaculture Research Institute,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"ไนเตรท ,ซัลไฟท์ , ตะกอนดิน ,การเลี้ยง ,กุ้งกุลาดำ ","Nitrate , Sulfide , Sediment , Culture , Penaeus monodon",๑/๑๙ ถ.เก้าแสน ซ.๑,1/19 Kaosan Rd. Soi 1,เขารูปช้าง,Khaorupchang,เมือง,Muang,สงขลา,Songkhla,90000,90000,,,,,2550,2007,2550,๑๘๒๕๕๐.pdf,182007.pdf,F182550.pdf,www.coastalaqua.com/research/files/th/๑๘๒๕๕๐.pdf,http://www.coastalaqua.com/research/files/en/182007.pdf,http://www.coastalaqua.com/research/files/full/F182550.pdf
129,48-0336-48103-003,๑๙/๒๕๕๐,19/2007,ความสัมพันธ์ระหว่างคุณภาพน้ำและดินกับค่าดัชนีความสมบูรณ์ของหอยแครงในแหล่งเลี้ยงอ่าวบ้านดอนสุราษฎร์ธานี,"RELATIONSHIP BETWEEN WATER AND SOIL QUALITIES WITH CONDITION INDEX OF COCKLE Anadara granosa IN BANDON BAY, SURATTHANI PROVINCE",วราภรณ์ หนูดี<br>จินตนา มหาสวัสดิ์,"Varaporn Nudee, Jintana Mahasawat",ศูนย์วิจัยและพัฒนาประมงชายฝั่ง        สุราษฎร์ธานี,Suratthani Coastal Fisheries Research and Development Center,สำนักวิจัยและพัฒนาประมงชายฝั่ง,Coastal Fisheries Research and development Bureau,กรมประมง,Department of Fisheries,กระทรวงเกษตรและสหกรณ์,Ministry of Agriculture and Cooperatives,"หอยแครง , คุณภาพน้ำ , คุณภาพดิน , อ่าวบ้านดอน ,   สุราษฎร์ธานี","Cockle ,      water qualities , soil qualities , Bandon Bay , Suratthani Province",๙๗/๑ หมู่ ๔,97/1 Moo 4,ตะเคียนทอง,Takeantong,กาญจนดิษฐ์,Kanchanadit,สุราษฎร์ธานี,Suratthani,84160,84160,๐-๗๗๒-๕๕๒๘-๘,0-772-5528-8,,,2550,2007,2550,๑๙๒๕๕๐.pdf,192007.pdf,F192550.pdf,www.coastalaqua.com/research/files/th/๑๙๒๕๕๐.pdf,http://www.coastalaqua.com/research/files/en/192007.pdf,http://www.coastalaqua.com/research/files/full/F192550.pdf
